time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene
23_04_2021 22h48min53seg,64,-1,2710,876,332,650,800,0,0,2960,0,0,0,450,0
23_04_2021 22h49min20seg,65,-1,3380,616,606,650,800,0,0,3180,0,0,0,450,0
23_04_2021 22h49min47seg,66,-1,2245,758,474,700,800,0,0,2795,0,0,0,600,0
23_04_2021 22h50min15seg,67,-1,3015,428,136,600,500,0,0,3065,0,251,0,250,0
23_04_2021 22h50min40seg,68,-1,2995,512,157,750,800,0,0,3045,0,475,0,550,0
23_04_2021 22h51min51seg,69,-1,8150,2263,1695,2550,800,2800,0,10650,0,0,0,2550,0
23_04_2021 22h52min22seg,70,-1,3565,453,25,600,400,0,0,3365,0,531,0,300,0
23_04_2021 22h53min53seg,71,1,9310,2108,260,2150,800,2650,800,9260,0,559,0,1950,0
23_04_2021 22h54min40seg,72,-1,3330,882,674,1250,800,350,0,4130,0,0,0,1050,0
23_04_2021 22h55min23seg,73,-1,3485,712,75,700,800,0,0,3585,0,531,0,500,0
23_04_2021 22h56min07seg,74,-1,2080,838,943,750,800,100,0,2480,0,0,0,550,0
23_04_2021 22h56min50seg,75,-1,3120,433,34,600,500,0,0,3270,0,363,0,550,0
23_04_2021 22h57min24seg,76,-1,2395,495,443,600,800,0,0,2895,0,0,0,650,0
23_04_2021 22h57min56seg,77,-1,3165,392,1,600,500,0,0,3015,0,447,0,300,0
23_04_2021 22h58min44seg,78,1,5150,1093,319,1400,800,950,800,4600,0,699,0,1200,0
23_04_2021 22h59min56seg,79,-1,3235,910,105,1650,800,500,0,4635,0,0,0,1450,0
23_04_2021 23h00min38seg,80,-1,2675,375,11,600,400,0,0,2725,0,223,0,300,0
23_04_2021 23h01min19seg,81,-1,2895,349,12,600,400,0,0,2595,0,531,0,200,0
23_04_2021 23h02min14seg,82,-1,3010,802,293,750,800,0,0,3260,0,0,0,550,0
23_04_2021 23h04min06seg,83,-1,7990,2211,303,2850,800,2450,150,9990,0,419,0,2650,0
23_04_2021 23h04min45seg,84,-1,1850,437,251,600,650,0,0,2200,0,0,0,400,0
23_04_2021 23h05min29seg,85,-1,3000,532,304,800,650,0,0,3550,0,0,0,600,0
23_04_2021 23h06min00seg,86,-1,2940,356,44,600,500,0,0,2740,0,559,0,300,0
23_04_2021 23h07min10seg,87,-1,4550,1496,891,1900,800,1100,0,6150,0,0,0,1700,0
23_04_2021 23h07min43seg,88,-1,3270,379,113,600,500,0,0,2920,0,643,0,250,0
23_04_2021 23h08min17seg,89,-1,1985,548,531,800,800,0,0,2435,0,0,0,600,0
23_04_2021 23h08min55seg,90,-1,3410,448,13,600,500,0,0,3460,0,335,0,300,0
23_04_2021 23h09min29seg,91,-1,2560,473,149,600,650,0,0,2610,0,503,0,550,0
23_04_2021 23h10min02seg,92,-1,2420,641,177,600,800,0,0,3120,0,0,0,800,0
23_04_2021 23h10min56seg,93,-1,5435,1277,569,1700,800,1250,0,6985,0,0,0,1600,0
23_04_2021 23h11min28seg,94,1,4660,559,193,1250,800,900,900,3910,0,699,0,1250,0
23_04_2021 23h11min56seg,95,-1,2020,378,154,600,500,0,0,2470,0,0,0,550,0
23_04_2021 23h12min29seg,96,1,4490,780,638,1400,800,1150,1000,3740,0,671,0,1250,0
23_04_2021 23h13min05seg,97,-1,3640,416,5,600,500,0,0,3240,0,615,0,100,0
23_04_2021 23h13min39seg,98,-1,1475,411,250,600,500,0,0,1825,0,0,0,400,0
23_04_2021 23h14min19seg,99,-1,3785,808,344,600,800,0,0,3535,0,0,0,400,0
23_04_2021 23h15min00seg,100,-1,3475,402,83,600,500,0,0,3075,0,531,0,100,0
23_04_2021 23h15min51seg,101,-1,3375,454,51,600,500,0,0,3325,0,447,0,400,0
23_04_2021 23h16min29seg,102,-1,2960,723,605,1000,800,250,0,3610,0,0,0,800,0
23_04_2021 23h16min56seg,103,-1,2150,599,605,750,800,0,0,2500,0,0,0,550,0
23_04_2021 23h17min23seg,104,-1,1630,703,507,600,800,0,0,2030,0,0,0,500,0
23_04_2021 23h17min52seg,105,-1,3345,577,95,650,800,0,0,3245,0,643,0,450,0
23_04_2021 23h18min22seg,106,-1,2995,597,635,900,800,100,0,3095,0,0,0,700,0
23_04_2021 23h19min03seg,107,1,5840,1095,632,1500,800,1500,800,5390,0,699,0,1300,0
23_04_2021 23h19min26seg,108,-1,2025,355,123,600,500,0,0,2225,0,0,0,250,0
23_04_2021 23h19min49seg,109,-1,2910,353,21,600,400,0,0,2760,0,363,0,300,0
23_04_2021 23h20min15seg,110,-1,3540,411,34,600,500,0,0,3190,0,643,0,250,0
23_04_2021 23h20min37seg,111,-1,3255,324,24,600,400,0,0,2605,0,671,0,0,0
23_04_2021 23h21min01seg,112,-1,4055,422,12,600,400,0,0,3405,0,699,0,0,0
23_04_2021 23h21min26seg,113,-1,4000,414,32,600,400,0,0,3350,0,671,0,0,0
23_04_2021 23h21min47seg,114,-1,3220,322,16,600,400,0,0,2570,0,671,0,0,0
23_04_2021 23h22min16seg,115,-1,3015,688,178,600,800,0,0,3315,0,83,0,400,0
23_04_2021 23h22min59seg,116,-1,4205,1222,1331,1200,800,800,0,5155,0,0,0,1000,0
23_04_2021 23h23min23seg,117,-1,2420,382,96,600,500,0,0,2570,0,391,0,550,0
23_04_2021 23h23min50seg,118,-1,3000,428,53,600,500,0,0,3100,0,419,0,400,0
23_04_2021 23h24min17seg,119,-1,2610,405,299,850,650,0,0,2860,0,0,0,650,0
23_04_2021 23h24min42seg,120,-1,3260,381,130,600,500,0,0,2910,0,671,0,250,0
23_04_2021 23h25min06seg,121,-1,3100,364,38,600,500,0,0,2850,0,447,0,300,0
23_04_2021 23h25min32seg,122,-1,2325,378,424,600,500,0,0,2675,0,0,0,500,0
23_04_2021 23h26min02seg,123,-1,2670,990,1020,600,800,0,0,2920,0,0,0,400,0
23_04_2021 23h26min24seg,124,-1,3075,350,7,600,400,0,0,2725,0,475,0,100,0
23_04_2021 23h26min50seg,125,-1,1945,711,978,600,800,0,0,2195,0,0,0,400,0
23_04_2021 23h27min16seg,126,-1,2650,420,16,600,400,0,0,2800,0,335,0,500,0
23_04_2021 23h27min45seg,127,1,4405,564,139,1400,800,1000,800,3755,0,727,0,1350,0
23_04_2021 23h28min10seg,128,-1,2600,398,205,600,500,0,0,2650,0,0,0,100,0
23_04_2021 23h28min32seg,129,-1,3415,367,81,600,500,0,0,2915,0,727,0,100,0
23_04_2021 23h28min51seg,130,-1,1780,354,350,600,500,0,0,2030,0,0,0,400,0
23_04_2021 23h29min09seg,131,-1,3170,338,7,600,400,0,0,2620,0,531,0,0,0
23_04_2021 23h29min30seg,132,-1,2875,398,21,600,500,0,0,2875,0,139,0,100,0
23_04_2021 23h29min51seg,133,-1,4380,459,33,600,400,0,0,3730,0,727,0,0,0
23_04_2021 23h30min11seg,134,-1,2375,372,28,600,500,0,0,2675,0,167,0,500,0
23_04_2021 23h30min30seg,135,-1,3215,359,140,600,500,0,0,2715,0,643,0,100,0
23_04_2021 23h30min47seg,136,-1,3145,312,25,600,400,0,0,2495,0,671,0,0,0
23_04_2021 23h31min06seg,137,-1,3550,360,30,600,400,0,0,2900,0,699,0,0,0
23_04_2021 23h31min26seg,138,-1,3985,415,16,600,400,0,0,3335,0,699,0,0,0
23_04_2021 23h31min42seg,139,-1,3055,300,27,600,400,0,0,2405,0,671,0,0,0
23_04_2021 23h32min01seg,140,-1,3335,334,13,600,400,0,0,2685,0,699,0,0,0
23_04_2021 23h32min19seg,141,-1,3515,357,30,600,400,0,0,2865,0,755,0,0,0
23_04_2021 23h32min38seg,142,-1,3295,346,23,600,500,0,0,2745,0,615,0,100,0
23_04_2021 23h32min56seg,143,-1,2930,337,175,600,500,0,0,2480,0,503,0,100,0
23_04_2021 23h33min16seg,144,-1,1675,679,734,600,800,0,0,1925,0,0,0,400,0
23_04_2021 23h33min34seg,145,-1,2420,326,23,600,500,0,0,2470,0,0,0,100,0
23_04_2021 23h33min55seg,146,-1,2955,425,177,600,650,0,0,2805,0,503,0,400,0
23_04_2021 23h34min18seg,147,-1,2040,723,1078,600,800,0,0,2490,0,0,0,600,0
23_04_2021 23h34min35seg,148,-1,2950,287,2,600,400,0,0,2300,0,671,0,0,0
23_04_2021 23h34min55seg,149,-1,2480,461,350,600,650,0,0,2580,0,0,0,400,0
23_04_2021 23h35min14seg,150,-1,3340,348,28,600,400,0,0,2790,0,671,0,0,0
23_04_2021 23h35min34seg,151,-1,4240,442,12,600,400,0,0,3590,0,699,0,0,0
23_04_2021 23h35min56seg,152,-1,2000,748,256,600,800,0,0,2350,0,0,0,400,0
23_04_2021 23h36min15seg,153,-1,3670,376,13,600,400,0,0,3020,0,699,0,0,0
23_04_2021 23h36min35seg,154,-1,4160,433,16,600,400,0,0,3510,0,671,0,0,0
23_04_2021 23h37min40seg,155,-1,9600,3015,2798,1750,800,3000,0,10800,0,0,0,1750,0
23_04_2021 23h37min57seg,156,-1,3260,333,26,600,400,0,0,2660,0,643,0,0,0
23_04_2021 23h38min17seg,157,-1,2995,359,401,600,500,0,0,2645,0,0,0,100,0
23_04_2021 23h38min38seg,158,-1,2565,427,281,600,500,0,0,3015,0,279,0,700,0
23_04_2021 23h38min56seg,159,-1,2965,350,308,600,500,0,0,2565,0,615,0,200,0
23_04_2021 23h39min15seg,160,-1,2940,337,253,600,500,0,0,2490,0,643,0,100,0
23_04_2021 23h39min31seg,161,-1,3085,303,26,600,400,0,0,2435,0,671,0,0,0
23_04_2021 23h39min51seg,162,-1,3650,403,12,600,400,0,0,3150,0,615,0,100,0
23_04_2021 23h40min09seg,163,-1,3265,328,17,600,400,0,0,2615,0,643,0,0,0
23_04_2021 23h40min27seg,164,-1,2715,357,14,600,400,0,0,2765,0,391,0,400,0
23_04_2021 23h40min45seg,165,-1,2255,354,272,600,500,0,0,2555,0,391,0,700,0
23_04_2021 23h41min25seg,166,1,8460,2114,737,1550,800,1400,1000,7810,0,587,0,1350,0
23_04_2021 23h41min44seg,167,-1,3390,382,148,600,500,0,0,2890,0,615,0,100,0
23_04_2021 23h42min02seg,168,-1,3260,323,0,600,400,0,0,2610,0,671,0,0,0
23_04_2021 23h42min22seg,169,-1,4175,437,3,600,400,0,0,3525,0,671,0,0,0
23_04_2021 23h42min41seg,170,-1,3650,371,6,600,400,0,0,3000,0,727,0,0,0
23_04_2021 23h42min58seg,171,-1,3280,328,16,600,400,0,0,2630,0,671,0,0,0
23_04_2021 23h43min18seg,172,-1,2075,436,1,600,400,0,0,2975,0,55,0,1000,0
23_04_2021 23h43min35seg,173,-1,2880,306,29,600,400,0,0,2430,0,615,0,100,0
23_04_2021 23h43min54seg,174,-1,2350,365,0,600,500,0,0,2400,0,0,0,100,0
23_04_2021 23h44min10seg,175,-1,2770,277,19,600,400,0,0,2220,0,643,0,0,0
23_04_2021 23h45min08seg,176,-1,7475,2894,4155,1550,800,2450,0,8775,0,0,0,1350,0
23_04_2021 23h45min26seg,177,-1,3435,346,21,600,400,0,0,2785,0,671,0,0,0
23_04_2021 23h45min44seg,178,-1,3675,373,17,600,400,0,0,3025,0,699,0,0,0
23_04_2021 23h46min02seg,179,-1,3260,325,16,600,400,0,0,2610,0,671,0,0,0
23_04_2021 23h46min21seg,180,-1,3565,384,28,600,400,0,0,3015,0,587,0,0,0
23_04_2021 23h46min39seg,181,-1,3630,368,3,600,400,0,0,2980,0,671,0,0,0
23_04_2021 23h46min58seg,182,-1,3965,412,19,600,400,0,0,3315,0,727,0,0,0
23_04_2021 23h47min17seg,183,-1,3775,390,32,600,400,0,0,3125,0,671,0,0,0
23_04_2021 23h47min36seg,184,-1,3860,399,30,600,400,0,0,3210,0,671,0,0,0
23_04_2021 23h47min55seg,185,-1,3490,367,18,600,400,0,0,2940,0,699,0,100,0
23_04_2021 23h48min14seg,186,-1,2835,356,29,600,500,0,0,2735,0,391,0,300,0
23_04_2021 23h48min33seg,187,-1,2670,386,224,600,500,0,0,2770,0,335,0,400,0
23_04_2021 23h48min52seg,188,-1,2255,367,180,600,500,0,0,2305,0,0,0,100,0
23_04_2021 23h49min14seg,189,-1,4025,486,457,600,500,0,0,3525,0,531,0,100,0
23_04_2021 23h49min36seg,190,-1,1965,672,779,600,800,0,0,2165,0,0,0,400,0
23_04_2021 23h49min52seg,191,-1,3140,312,31,600,400,0,0,2490,0,699,0,0,0
23_04_2021 23h50min11seg,192,-1,3650,371,1,600,400,0,0,3000,0,727,0,0,0
23_04_2021 23h50min28seg,193,-1,3215,322,22,600,400,0,0,2565,0,671,0,0,0
23_04_2021 23h50min47seg,194,-1,3735,383,3,600,400,0,0,3085,0,699,0,0,0
23_04_2021 23h51min06seg,195,-1,3580,381,29,600,500,0,0,3030,0,699,0,100,0
23_04_2021 23h51min23seg,196,-1,2855,324,19,600,400,0,0,2405,0,447,0,0,0
23_04_2021 23h51min41seg,197,-1,3170,345,22,600,400,0,0,2670,0,559,0,0,0
23_04_2021 23h51min58seg,198,-1,3215,320,11,600,400,0,0,2565,0,671,0,0,0
23_04_2021 23h52min20seg,199,-1,3900,487,10,600,400,0,0,3850,0,503,0,400,0
23_04_2021 23h52min38seg,200,-1,3195,340,17,600,500,0,0,2695,0,671,0,100,0
23_04_2021 23h52min57seg,201,-1,2345,363,220,600,500,0,0,2545,0,223,0,400,0
23_04_2021 23h53min18seg,202,-1,2500,415,509,650,650,0,0,2600,0,0,0,450,0
23_04_2021 23h53min34seg,203,-1,2945,295,18,600,400,0,0,2345,0,643,0,0,0
