time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene
24_04_2021 00h17min49seg,280,-1,4130,466,207,600,500,0,0,3630,0,699,0,100,0
24_04_2021 00h18min07seg,281,-1,3675,377,8,600,400,0,0,3025,0,699,0,0,0
24_04_2021 00h18min26seg,282,-1,3915,412,20,600,400,0,0,3315,0,643,0,0,0
24_04_2021 00h18min45seg,283,-1,3685,377,10,600,400,0,0,3035,0,671,0,0,0
24_04_2021 00h19min03seg,284,-1,3415,343,18,600,400,0,0,2765,0,727,0,0,0
24_04_2021 00h19min21seg,285,-1,3635,372,30,600,400,0,0,2985,0,671,0,0,0
24_04_2021 00h19min40seg,286,-1,3105,371,134,600,500,0,0,2855,0,335,0,200,0
24_04_2021 00h19min59seg,287,-1,2520,375,239,600,500,0,0,2720,0,363,0,500,0
24_04_2021 00h20min20seg,288,-1,3345,389,695,600,500,0,0,2895,0,0,0,100,0
24_04_2021 00h20min37seg,289,-1,2550,342,209,600,500,0,0,2500,0,419,0,300,0
24_04_2021 00h20min58seg,290,-1,2835,434,276,600,500,0,0,3135,0,307,0,600,0
24_04_2021 00h21min17seg,291,-1,3235,387,460,600,500,0,0,2785,0,0,0,100,0
24_04_2021 00h21min35seg,292,-1,3410,359,7,600,400,0,0,2860,0,615,0,0,0
24_04_2021 00h21min54seg,293,-1,3300,402,243,600,500,0,0,2950,0,503,0,100,0
24_04_2021 00h22min14seg,294,-1,3475,402,296,600,500,0,0,2975,0,615,0,100,0
24_04_2021 00h22min33seg,295,-1,4035,418,16,600,400,0,0,3385,0,755,0,0,0
24_04_2021 00h22min52seg,296,-1,2975,388,7,600,500,0,0,2925,0,363,0,200,0
24_04_2021 00h23min09seg,297,-1,2715,316,14,600,400,0,0,2415,0,559,0,200,0
24_04_2021 00h23min25seg,298,-1,2930,294,28,600,400,0,0,2330,0,615,0,0,0
24_04_2021 00h23min42seg,299,-1,3225,320,0,600,400,0,0,2575,0,699,0,0,0
24_04_2021 00h23min59seg,300,-1,3210,318,26,600,400,0,0,2560,0,671,0,0,0
24_04_2021 00h24min17seg,301,-1,3435,345,33,600,400,0,0,2785,0,643,0,0,0
24_04_2021 00h24min38seg,302,-1,2775,380,295,600,500,0,0,2725,0,279,0,400,0
24_04_2021 00h24min55seg,303,-1,3350,335,10,600,400,0,0,2700,0,671,0,0,0
24_04_2021 00h25min12seg,304,-1,3035,313,16,600,400,0,0,2485,0,587,0,0,0
24_04_2021 00h25min31seg,305,-1,3660,374,4,600,400,0,0,3010,0,699,0,0,0
24_04_2021 00h25min48seg,306,-1,2965,344,7,600,400,0,0,2715,0,531,0,300,0
24_04_2021 00h26min10seg,307,-1,2165,741,1122,700,800,0,0,2465,0,167,0,700,0
24_04_2021 00h26min28seg,308,-1,3170,351,26,600,500,0,0,2770,0,615,0,200,0
24_04_2021 00h26min46seg,309,-1,3375,348,22,600,400,0,0,2775,0,615,0,0,0
24_04_2021 00h27min05seg,310,-1,1930,356,249,600,500,0,0,2280,0,0,0,400,0
24_04_2021 00h27min24seg,311,-1,3375,382,346,600,500,0,0,2825,0,615,0,100,0
24_04_2021 00h27min41seg,312,-1,3055,323,3,600,400,0,0,2555,0,671,0,100,0
24_04_2021 00h28min00seg,313,-1,3690,377,7,600,400,0,0,3040,0,699,0,0,0
24_04_2021 00h28min18seg,314,-1,1725,356,398,600,500,0,0,1975,0,0,0,400,0
24_04_2021 00h28min36seg,315,-1,3590,366,27,600,400,0,0,2940,0,699,0,0,0
24_04_2021 00h28min59seg,316,-1,2510,746,800,600,800,0,0,2860,0,0,0,400,0
24_04_2021 00h29min19seg,317,-1,3315,403,317,600,500,0,0,2915,0,531,0,100,0
24_04_2021 00h29min37seg,318,-1,3335,366,25,600,400,0,0,2835,0,615,0,100,0
24_04_2021 00h29min55seg,319,-1,3110,333,155,600,500,0,0,2560,0,699,0,100,0
24_04_2021 00h30min13seg,320,-1,3630,369,25,600,400,0,0,2980,0,699,0,0,0
24_04_2021 00h30min32seg,321,-1,3770,400,17,600,400,0,0,3220,0,559,0,0,0
24_04_2021 00h30min51seg,322,-1,4040,419,3,600,400,0,0,3390,0,671,0,0,0
24_04_2021 00h31min07seg,323,-1,2945,285,25,600,400,0,0,2295,0,699,0,0,0
24_04_2021 00h31min27seg,324,-1,2940,394,181,600,500,0,0,2990,0,503,0,500,0
24_04_2021 00h31min45seg,325,-1,2215,374,200,600,500,0,0,2465,0,27,0,300,0
24_04_2021 00h32min03seg,326,-1,3220,368,206,600,500,0,0,2720,0,587,0,100,0
24_04_2021 00h32min22seg,327,-1,2205,372,123,600,500,0,0,2605,0,139,0,500,0
24_04_2021 00h32min41seg,328,-1,3050,398,271,600,500,0,0,2950,0,531,0,300,0
24_04_2021 00h33min00seg,329,-1,2780,377,182,600,500,0,0,2780,0,503,0,400,0
24_04_2021 00h33min17seg,330,-1,2800,330,234,600,500,0,0,2400,0,531,0,100,0
24_04_2021 00h33min35seg,331,-1,3535,360,26,600,400,0,0,2885,0,699,0,0,0
24_04_2021 00h33min54seg,332,-1,2745,395,78,600,500,0,0,2845,0,223,0,300,0
24_04_2021 00h34min12seg,333,-1,3000,340,248,600,500,0,0,2500,0,643,0,100,0
24_04_2021 00h34min28seg,334,-1,3140,312,33,600,400,0,0,2490,0,699,0,0,0
24_04_2021 00h34min50seg,335,-1,3730,455,73,600,500,0,0,3480,0,559,0,300,0
24_04_2021 00h35min10seg,336,-1,2620,413,227,600,500,0,0,2870,0,167,0,400,0
24_04_2021 00h35min30seg,337,-1,3520,405,330,600,500,0,0,3020,0,643,0,100,0
24_04_2021 00h35min50seg,338,-1,2635,404,606,650,650,0,0,2635,0,0,0,450,0
24_04_2021 00h36min12seg,339,-1,2595,681,303,600,650,0,0,2945,0,0,0,400,0
24_04_2021 00h36min33seg,340,-1,3685,441,268,600,500,0,0,3235,0,559,0,100,0
24_04_2021 00h36min53seg,341,-1,3850,414,39,600,500,0,0,3300,0,671,0,100,0
24_04_2021 00h37min12seg,342,-1,3065,375,218,600,500,0,0,2715,0,531,0,200,0
24_04_2021 00h37min31seg,343,-1,3790,388,18,600,400,0,0,3140,0,727,0,0,0
24_04_2021 00h37min48seg,344,-1,3350,337,13,600,400,0,0,2700,0,699,0,0,0
24_04_2021 00h38min08seg,345,-1,3890,421,15,600,400,0,0,3340,0,587,0,0,0
24_04_2021 00h38min26seg,346,-1,3405,344,7,600,400,0,0,2755,0,699,0,0,0
24_04_2021 00h38min43seg,347,-1,3075,322,18,600,400,0,0,2575,0,643,0,100,0
24_04_2021 00h39min02seg,348,-1,3595,389,29,600,500,0,0,3045,0,643,0,100,0
24_04_2021 00h39min20seg,349,-1,3335,333,35,600,400,0,0,2685,0,727,0,0,0
24_04_2021 00h39min37seg,350,-1,3380,339,26,600,400,0,0,2730,0,699,0,0,0
24_04_2021 00h39min55seg,351,-1,3525,358,15,600,400,0,0,2875,0,699,0,0,0
24_04_2021 00h40min13seg,352,-1,3550,361,12,600,400,0,0,2900,0,643,0,0,0
24_04_2021 00h40min32seg,353,-1,3725,382,21,600,400,0,0,3075,0,671,0,0,0
24_04_2021 00h40min50seg,354,-1,3520,356,6,600,400,0,0,2870,0,699,0,0,0
24_04_2021 00h41min06seg,355,-1,3100,323,1,600,400,0,0,2550,0,587,0,0,0
24_04_2021 00h41min25seg,356,-1,3610,372,28,600,400,0,0,3010,0,699,0,0,0
24_04_2021 00h41min43seg,357,-1,3570,363,30,600,400,0,0,2920,0,699,0,0,0
24_04_2021 00h42min02seg,358,-1,2085,404,63,600,500,0,0,2635,0,0,0,600,0
24_04_2021 00h42min22seg,359,-1,2160,378,249,600,500,0,0,2610,0,83,0,600,0
24_04_2021 00h42min40seg,360,-1,3240,370,317,600,500,0,0,2740,0,643,0,100,0
24_04_2021 00h42min56seg,361,-1,3070,301,18,600,400,0,0,2420,0,699,0,0,0
24_04_2021 00h43min14seg,362,-1,3570,363,29,600,400,0,0,2920,0,699,0,0,0
24_04_2021 00h43min33seg,363,-1,3730,382,13,600,400,0,0,3080,0,699,0,0,0
24_04_2021 00h43min52seg,364,-1,3470,379,53,600,400,0,0,3020,0,279,0,100,0
24_04_2021 00h44min10seg,365,-1,2390,357,200,600,500,0,0,2540,0,363,0,500,0
24_04_2021 00h44min54seg,366,-1,7125,1512,488,1500,800,1650,0,7825,0,643,0,1300,0
24_04_2021 00h45min11seg,367,-1,3325,330,26,600,400,0,0,2675,0,699,0,0,0
24_04_2021 00h45min30seg,368,-1,3920,404,0,600,400,0,0,3270,0,755,0,0,0
24_04_2021 00h45min49seg,369,-1,3525,357,35,600,400,0,0,2875,0,727,0,0,0
24_04_2021 00h46min07seg,370,-1,3800,391,22,600,400,0,0,3150,0,727,0,0,0
24_04_2021 00h46min25seg,371,-1,3670,376,15,600,400,0,0,3020,0,699,0,0,0
24_04_2021 00h46min44seg,372,-1,3755,384,28,600,400,0,0,3105,0,755,0,0,0
24_04_2021 00h47min02seg,373,-1,3320,333,27,600,400,0,0,2670,0,699,0,0,0
24_04_2021 00h47min20seg,374,-1,3535,360,30,600,400,0,0,2885,0,699,0,0,0
24_04_2021 00h47min37seg,375,-1,3350,336,30,600,400,0,0,2700,0,699,0,0,0
24_04_2021 00h47min56seg,376,-1,3835,394,15,600,400,0,0,3185,0,671,0,0,0
24_04_2021 00h48min16seg,377,-1,3105,411,262,600,500,0,0,3005,0,559,0,400,0
24_04_2021 00h48min33seg,378,-1,3515,356,2,600,400,0,0,2865,0,671,0,0,0
24_04_2021 00h48min54seg,379,-1,2695,429,89,600,500,0,0,3095,0,139,0,500,0
24_04_2021 00h49min15seg,380,-1,3530,427,371,600,500,0,0,3130,0,587,0,100,0
24_04_2021 00h49min36seg,381,-1,2435,743,317,600,800,0,0,2785,0,0,0,400,0
24_04_2021 00h49min57seg,382,-1,1415,392,455,600,500,0,0,2065,0,0,0,700,0
24_04_2021 00h50min16seg,383,-1,3775,395,4,600,400,0,0,3175,0,615,0,0,0
24_04_2021 00h50min37seg,384,-1,2400,465,265,600,500,0,0,3100,0,83,0,800,0
24_04_2021 00h51min00seg,385,-1,2790,584,578,600,650,0,0,3040,0,0,0,400,0
24_04_2021 00h51min18seg,386,-1,3490,354,31,600,400,0,0,2840,0,643,0,0,0
24_04_2021 00h51min35seg,387,-1,3265,327,25,600,400,0,0,2615,0,643,0,0,0
24_04_2021 00h51min51seg,388,-1,3085,302,0,600,400,0,0,2435,0,755,0,0,0
24_04_2021 00h52min11seg,389,-1,4175,437,3,600,400,0,0,3525,0,671,0,0,0
24_04_2021 00h52min29seg,390,-1,3685,377,10,600,400,0,0,3035,0,671,0,0,0
24_04_2021 00h52min50seg,391,-1,3215,456,120,600,500,0,0,3265,0,27,0,100,0
24_04_2021 00h53min10seg,392,-1,2440,394,292,600,500,0,0,2790,0,251,0,600,0
24_04_2021 00h53min30seg,393,-1,2385,402,266,600,500,0,0,2735,0,223,0,600,0
24_04_2021 00h53min47seg,394,-1,3160,313,21,600,400,0,0,2510,0,699,0,0,0
24_04_2021 00h54min03seg,395,-1,3050,312,23,600,400,0,0,2500,0,671,0,0,0
24_04_2021 00h54min23seg,396,-1,3865,400,16,600,400,0,0,3215,0,643,0,0,0
24_04_2021 00h54min40seg,397,-1,2960,288,33,600,400,0,0,2310,0,727,0,0,0
24_04_2021 00h54min57seg,398,-1,3290,328,13,600,400,0,0,2640,0,643,0,0,0
24_04_2021 00h55min14seg,399,-1,3270,326,11,600,400,0,0,2620,0,699,0,0,0
24_04_2021 00h55min32seg,400,-1,3350,395,2,600,400,0,0,3100,0,475,0,200,0
24_04_2021 00h55min55seg,401,-1,3740,486,301,600,500,0,0,3590,0,391,0,200,0
24_04_2021 00h56min15seg,402,-1,3245,373,235,600,500,0,0,2745,0,615,0,100,0
24_04_2021 00h56min32seg,403,-1,3220,320,5,600,400,0,0,2570,0,671,0,0,0
24_04_2021 00h56min50seg,404,-1,3710,381,27,600,400,0,0,3060,0,671,0,0,0
24_04_2021 00h57min10seg,405,-1,3445,397,9,600,400,0,0,3045,0,391,0,0,0
24_04_2021 00h57min29seg,406,-1,3990,423,35,600,400,0,0,3390,0,643,0,0,0
24_04_2021 00h57min45seg,407,-1,3140,308,3,600,400,0,0,2490,0,727,0,0,0
24_04_2021 00h58min02seg,408,-1,3350,337,15,600,400,0,0,2700,0,699,0,0,0
24_04_2021 00h58min20seg,409,-1,2615,332,1,600,400,0,0,2465,0,391,0,200,0
24_04_2021 00h58min38seg,410,-1,2995,377,260,600,500,0,0,2745,0,503,0,200,0
24_04_2021 00h58min56seg,411,-1,3100,339,21,600,500,0,0,2650,0,559,0,100,0
24_04_2021 00h59min17seg,412,-1,2975,429,321,600,500,0,0,3125,0,335,0,500,0
24_04_2021 00h59min39seg,413,-1,2870,493,212,600,500,0,0,3420,0,27,0,600,0
24_04_2021 00h59min57seg,414,-1,2965,332,174,600,500,0,0,2465,0,643,0,100,0
24_04_2021 01h00min16seg,415,-1,3165,357,290,600,500,0,0,2665,0,615,0,100,0
24_04_2021 01h00min33seg,416,-1,3350,338,11,600,400,0,0,2700,0,671,0,0,0
24_04_2021 01h00min50seg,417,-1,3305,337,22,600,400,0,0,2705,0,699,0,0,0
24_04_2021 01h01min08seg,418,-1,3350,348,21,600,400,0,0,2800,0,643,0,0,0
24_04_2021 01h01min24seg,419,-1,3275,326,0,600,400,0,0,2625,0,699,0,0,0
24_04_2021 01h01min43seg,420,-1,3730,382,17,600,400,0,0,3080,0,699,0,0,0
24_04_2021 01h02min01seg,421,-1,3435,345,29,600,400,0,0,2785,0,643,0,0,0
24_04_2021 01h02min18seg,422,-1,3390,341,1,600,400,0,0,2740,0,643,0,0,0
24_04_2021 01h02min35seg,423,-1,3005,307,19,600,400,0,0,2405,0,643,0,0,0
24_04_2021 01h02min52seg,424,-1,1725,343,177,600,500,0,0,2425,0,251,0,900,0
24_04_2021 01h03min11seg,425,-1,1580,353,215,600,500,0,0,2280,0,27,0,800,0
24_04_2021 01h03min30seg,426,-1,2575,355,264,600,500,0,0,2575,0,419,0,400,0
24_04_2021 01h03min49seg,427,-1,1675,357,179,600,500,0,0,2325,0,0,0,700,0
24_04_2021 01h04min05seg,428,-1,3045,299,9,600,400,0,0,2395,0,643,0,0,0
24_04_2021 01h04min22seg,429,-1,3465,350,12,600,400,0,0,2815,0,727,0,0,0
24_04_2021 01h04min40seg,430,-1,3705,380,1,600,400,0,0,3055,0,699,0,0,0
24_04_2021 01h04min59seg,431,-1,3695,379,21,600,400,0,0,3045,0,699,0,0,0
24_04_2021 01h05min16seg,432,-1,3270,326,4,600,400,0,0,2620,0,643,0,0,0
24_04_2021 01h05min32seg,433,-1,3205,317,3,600,400,0,0,2555,0,671,0,0,0
24_04_2021 01h05min51seg,434,-1,3715,383,3,600,400,0,0,3065,0,671,0,0,0
24_04_2021 01h06min08seg,435,-1,3010,305,9,600,400,0,0,2410,0,615,0,0,0
24_04_2021 01h06min27seg,436,-1,3700,377,8,600,400,0,0,3050,0,671,0,0,0
24_04_2021 01h06min44seg,437,-1,3410,357,21,600,400,0,0,2860,0,587,0,0,0
24_04_2021 01h07min01seg,438,-1,3135,309,0,600,400,0,0,2485,0,727,0,0,0
24_04_2021 01h07min17seg,439,-1,2930,319,16,600,400,0,0,2480,0,447,0,0,0
24_04_2021 01h07min34seg,440,-1,3195,316,15,600,400,0,0,2545,0,699,0,0,0
24_04_2021 01h07min52seg,441,-1,3140,342,26,600,400,0,0,2690,0,503,0,0,0
24_04_2021 01h08min09seg,442,-1,3410,356,6,600,400,0,0,2860,0,643,0,0,0
24_04_2021 01h08min27seg,443,-1,3610,368,6,600,400,0,0,2960,0,671,0,0,0
24_04_2021 01h08min45seg,444,-1,3520,358,17,600,400,0,0,2870,0,699,0,0,0
24_04_2021 01h09min06seg,445,-1,2715,440,1,600,400,0,0,3165,0,195,0,700,0
24_04_2021 01h09min24seg,446,-1,2320,361,238,600,500,0,0,2570,0,335,0,500,0
24_04_2021 01h09min43seg,447,-1,3065,327,94,600,500,0,0,2565,0,643,0,100,0
24_04_2021 01h10min01seg,448,-1,3850,399,35,600,400,0,0,3200,0,699,0,0,0
24_04_2021 01h10min19seg,449,-1,3350,337,22,600,400,0,0,2700,0,727,0,0,0
24_04_2021 01h10min37seg,450,-1,3665,375,31,600,400,0,0,3015,0,671,0,0,0
24_04_2021 01h10min56seg,451,-1,3815,393,30,600,400,0,0,3165,0,671,0,0,0
24_04_2021 01h11min13seg,452,-1,3445,347,1,600,400,0,0,2795,0,699,0,0,0
24_04_2021 01h11min31seg,453,-1,3580,363,29,600,400,0,0,2930,0,699,0,0,0
24_04_2021 01h11min48seg,454,-1,3315,332,9,600,400,0,0,2665,0,671,0,0,0
24_04_2021 01h12min06seg,455,-1,3610,368,7,600,400,0,0,2960,0,643,0,0,0
24_04_2021 01h12min23seg,456,-1,3155,318,34,600,400,0,0,2555,0,671,0,0,0
24_04_2021 01h12min41seg,457,-1,3575,362,9,600,400,0,0,2925,0,671,0,0,0
24_04_2021 01h13min01seg,458,-1,3110,376,209,600,500,0,0,3010,0,0,0,100,0
24_04_2021 01h13min20seg,459,-1,3450,364,52,600,500,0,0,2900,0,699,0,100,0
24_04_2021 01h13min36seg,460,-1,3115,320,2,600,400,0,0,2565,0,643,0,0,0
24_04_2021 01h13min57seg,461,-1,3330,420,68,600,500,0,0,3230,0,391,0,300,0
24_04_2021 01h14min14seg,462,-1,3220,340,97,600,500,0,0,2670,0,699,0,100,0
24_04_2021 01h14min33seg,463,-1,3565,361,21,600,400,0,0,2915,0,727,0,0,0
24_04_2021 01h14min52seg,464,-1,3735,383,3,600,400,0,0,3085,0,671,0,0,0
24_04_2021 01h15min12seg,465,-1,2620,418,9,600,400,0,0,2970,0,111,0,600,0
24_04_2021 01h15min32seg,466,-1,3970,427,21,600,500,0,0,3420,0,671,0,100,0
24_04_2021 01h15min51seg,467,-1,2790,371,3,600,500,0,0,2790,0,419,0,400,0
24_04_2021 01h16min11seg,468,-1,1860,355,171,600,500,0,0,2310,0,0,0,550,0
24_04_2021 01h16min29seg,469,-1,2915,374,54,600,500,0,0,2815,0,391,0,300,0
24_04_2021 01h16min52seg,470,-1,2200,978,956,600,800,0,0,2550,0,0,0,400,0
24_04_2021 01h17min10seg,471,-1,3115,341,76,600,500,0,0,2615,0,615,0,100,0
24_04_2021 01h17min29seg,472,-1,3315,384,437,600,500,0,0,2865,0,0,0,100,0
24_04_2021 01h17min49seg,473,-1,2780,385,371,600,500,0,0,2730,0,83,0,200,0
24_04_2021 01h18min07seg,474,-1,1965,328,215,600,500,0,0,2215,0,139,0,400,0
24_04_2021 01h18min30seg,475,-1,3150,465,420,600,500,0,0,3450,0,0,0,400,0
24_04_2021 01h18min48seg,476,-1,3420,345,33,600,400,0,0,2770,0,671,0,0,0
24_04_2021 01h19min07seg,477,-1,3785,389,3,600,400,0,0,3135,0,699,0,0,0
24_04_2021 01h19min23seg,478,-1,3225,320,1,600,400,0,0,2575,0,699,0,0,0
24_04_2021 01h19min41seg,479,-1,3260,326,6,600,400,0,0,2610,0,699,0,0,0
24_04_2021 01h19min57seg,480,-1,3080,301,13,600,400,0,0,2430,0,727,0,0,0
24_04_2021 01h20min16seg,481,-1,3775,387,30,600,400,0,0,3125,0,699,0,0,0
24_04_2021 01h20min36seg,482,-1,3975,449,92,600,500,0,0,3475,0,671,0,100,0
24_04_2021 01h20min56seg,483,-1,3485,404,190,600,500,0,0,2985,0,699,0,100,0
24_04_2021 01h21min14seg,484,-1,3695,378,33,600,400,0,0,3045,0,699,0,0,0
24_04_2021 01h21min32seg,485,-1,2145,350,1,600,500,0,0,2495,0,55,0,400,0
24_04_2021 01h21min51seg,486,-1,2000,360,251,600,500,0,0,2500,0,195,0,700,0
24_04_2021 01h22min10seg,487,-1,2695,395,299,600,500,0,0,2845,0,335,0,500,0
24_04_2021 01h22min31seg,488,-1,2700,431,5,600,500,0,0,3050,0,27,0,400,0
24_04_2021 01h22min50seg,489,-1,3735,411,173,600,500,0,0,3185,0,699,0,100,0
24_04_2021 01h23min09seg,490,-1,3565,388,11,600,400,0,0,3015,0,559,0,0,0
24_04_2021 01h23min28seg,491,-1,3005,372,116,600,500,0,0,2855,0,0,0,200,0
24_04_2021 01h23min46seg,492,-1,3410,354,38,600,500,0,0,2860,0,727,0,100,0
24_04_2021 01h24min06seg,493,-1,4050,421,12,600,400,0,0,3400,0,699,0,0,0
24_04_2021 01h24min23seg,494,-1,3170,314,9,600,400,0,0,2520,0,699,0,0,0
24_04_2021 01h24min43seg,495,-1,4090,425,12,600,400,0,0,3440,0,727,0,0,0
24_04_2021 01h25min01seg,496,-1,2195,358,80,600,500,0,0,2445,0,27,0,300,0
24_04_2021 01h25min19seg,497,-1,3425,361,21,600,500,0,0,2875,0,671,0,100,0
24_04_2021 01h25min38seg,498,-1,2510,366,200,600,500,0,0,2460,0,111,0,100,0
24_04_2021 01h25min55seg,499,-1,3395,339,24,600,400,0,0,2745,0,727,0,0,0
24_04_2021 01h26min13seg,500,-1,3515,355,18,600,400,0,0,2865,0,671,0,0,0
24_04_2021 01h26min33seg,501,-1,3725,382,23,600,400,0,0,3075,0,671,0,0,0
24_04_2021 01h26min52seg,502,-1,3700,380,8,600,400,0,0,3050,0,643,0,0,0
24_04_2021 01h27min10seg,503,-1,3590,366,24,600,400,0,0,2940,0,699,0,0,0
24_04_2021 01h27min27seg,504,-1,3180,339,26,600,400,0,0,2630,0,531,0,0,0
24_04_2021 01h27min44seg,505,-1,3355,351,28,600,400,0,0,2805,0,587,0,0,0
24_04_2021 01h28min03seg,506,-1,3415,369,23,600,400,0,0,2865,0,587,0,0,0
24_04_2021 01h28min20seg,507,-1,3455,348,30,600,400,0,0,2805,0,671,0,0,0
24_04_2021 01h28min36seg,508,-1,2895,286,23,600,400,0,0,2295,0,699,0,0,0
24_04_2021 01h28min54seg,509,-1,3465,351,24,600,400,0,0,2815,0,699,0,0,0
24_04_2021 01h29min11seg,510,-1,3120,309,1,600,400,0,0,2470,0,699,0,0,0
24_04_2021 01h29min30seg,511,-1,3730,382,18,600,400,0,0,3080,0,699,0,0,0
24_04_2021 01h29min47seg,512,-1,3270,326,9,600,400,0,0,2620,0,643,0,0,0
24_04_2021 01h30min06seg,513,-1,1995,356,201,600,500,0,0,2445,0,139,0,600,0
24_04_2021 01h30min24seg,514,-1,2570,329,243,600,500,0,0,2370,0,335,0,100,0
24_04_2021 01h30min42seg,515,-1,3320,379,296,600,500,0,0,2820,0,643,0,100,0
24_04_2021 01h31min00seg,516,-1,2860,358,242,600,500,0,0,2510,0,447,0,100,0
24_04_2021 01h31min17seg,517,-1,3255,322,13,600,400,0,0,2605,0,699,0,0,0
24_04_2021 01h31min37seg,518,-1,4155,434,2,600,400,0,0,3505,0,671,0,0,0
24_04_2021 01h31min57seg,519,-1,3985,416,6,600,400,0,0,3335,0,615,0,0,0
24_04_2021 01h32min14seg,520,-1,3355,336,27,600,400,0,0,2705,0,699,0,0,0
24_04_2021 01h32min32seg,521,-1,3280,328,19,600,400,0,0,2630,0,671,0,0,0
24_04_2021 01h32min51seg,522,-1,3315,384,334,600,500,0,0,2865,0,335,0,100,0
24_04_2021 01h33min09seg,523,-1,3470,357,35,600,400,0,0,2870,0,671,0,0,0
24_04_2021 01h33min27seg,524,-1,2200,342,17,600,400,0,0,2400,0,335,0,500,0
24_04_2021 01h33min44seg,525,-1,3445,348,25,600,400,0,0,2795,0,699,0,0,0
24_04_2021 01h34min02seg,526,-1,3465,351,24,600,400,0,0,2815,0,699,0,0,0
24_04_2021 01h34min21seg,527,-1,3895,404,10,600,400,0,0,3245,0,699,0,0,0
24_04_2021 01h34min41seg,528,-1,3525,372,25,600,500,0,0,2975,0,699,0,100,0
24_04_2021 01h34min59seg,529,-1,3520,356,7,600,400,0,0,2870,0,699,0,0,0
24_04_2021 01h35min16seg,530,-1,3555,359,3,600,400,0,0,2905,0,699,0,0,0
24_04_2021 01h35min33seg,531,-1,3420,344,4,600,400,0,0,2770,0,671,0,0,0
24_04_2021 01h35min53seg,532,-1,2635,376,112,600,500,0,0,2785,0,363,0,500,0
24_04_2021 01h36min12seg,533,-1,2235,379,209,600,500,0,0,2535,0,111,0,400,0
24_04_2021 01h36min30seg,534,-1,3325,348,31,600,500,0,0,2775,0,699,0,100,0
24_04_2021 01h36min48seg,535,-1,3535,357,30,600,400,0,0,2885,0,671,0,0,0
24_04_2021 01h37min05seg,536,-1,3205,318,27,600,400,0,0,2555,0,671,0,0,0
24_04_2021 01h37min23seg,537,-1,3630,376,15,600,400,0,0,3030,0,615,0,0,0
24_04_2021 01h37min40seg,538,-1,3365,338,1,600,400,0,0,2715,0,643,0,0,0
24_04_2021 01h38min00seg,539,-1,4115,429,27,600,400,0,0,3465,0,699,0,0,0
24_04_2021 01h38min20seg,540,-1,2305,406,58,600,500,0,0,2905,0,111,0,700,0
24_04_2021 01h38min41seg,541,-1,3810,417,83,600,500,0,0,3310,0,559,0,100,0
24_04_2021 01h38min59seg,542,-1,3760,387,33,600,400,0,0,3110,0,699,0,0,0
24_04_2021 01h39min16seg,543,-1,3555,360,26,600,400,0,0,2905,0,671,0,0,0
24_04_2021 01h39min35seg,544,-1,3490,375,21,600,400,0,0,2940,0,559,0,0,0
24_04_2021 01h39min54seg,545,-1,3940,408,28,600,400,0,0,3290,0,671,0,0,0
24_04_2021 01h40min14seg,546,-1,3860,415,12,600,400,0,0,3310,0,615,0,0,0
24_04_2021 01h40min32seg,547,-1,3350,361,16,600,400,0,0,2850,0,531,0,0,0
24_04_2021 01h40min49seg,548,-1,3380,338,7,600,400,0,0,2730,0,643,0,0,0
24_04_2021 01h41min09seg,549,-1,4040,422,3,600,400,0,0,3390,0,643,0,0,0
24_04_2021 01h41min26seg,550,-1,3460,350,2,600,400,0,0,2810,0,755,0,0,0
24_04_2021 01h41min46seg,551,-1,3580,405,131,600,500,0,0,3130,0,671,0,100,0
24_04_2021 01h42min05seg,552,-1,3295,379,328,600,500,0,0,2795,0,643,0,100,0
24_04_2021 01h42min23seg,553,-1,3405,373,17,600,400,0,0,2905,0,587,0,100,0
24_04_2021 01h42min43seg,554,-1,2680,415,278,600,500,0,0,2680,0,0,0,100,0
24_04_2021 01h43min01seg,555,-1,2990,340,253,600,500,0,0,2490,0,615,0,100,0
24_04_2021 01h43min18seg,556,-1,3465,350,9,600,400,0,0,2815,0,727,0,0,0
24_04_2021 01h43min36seg,557,-1,3360,337,20,600,400,0,0,2710,0,699,0,0,0
24_04_2021 01h43min52seg,558,-1,3105,306,25,600,400,0,0,2455,0,643,0,0,0
24_04_2021 01h44min10seg,559,-1,3465,351,30,600,400,0,0,2815,0,699,0,0,0
24_04_2021 01h44min30seg,560,-1,2460,430,0,600,400,0,0,3010,0,27,0,600,0
24_04_2021 01h44min51seg,561,-1,3735,433,322,600,500,0,0,3235,0,671,0,100,0
24_04_2021 01h45min11seg,562,-1,4225,471,24,600,400,0,0,3725,0,587,0,100,0
24_04_2021 01h45min32seg,563,-1,4395,463,14,600,400,0,0,3745,0,699,0,0,0
24_04_2021 01h45min54seg,564,-1,1735,906,1654,600,800,0,0,2185,0,55,0,600,0
24_04_2021 01h46min15seg,565,-1,2935,412,169,600,500,0,0,3085,0,475,0,500,0
24_04_2021 01h46min34seg,566,-1,3220,365,393,600,500,0,0,2720,0,83,0,100,0
24_04_2021 01h46min51seg,567,-1,2140,332,161,600,500,0,0,2240,0,139,0,200,0
24_04_2021 01h47min10seg,568,-1,3240,373,38,600,500,0,0,2840,0,475,0,100,0
