time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
26_04_2021 17h35min52seg,60,-1,4995,492,13,650,400,0,0,4345,0,699,0,50,0,8160
26_04_2021 17h36min22seg,61,-1,4443,447,1054,750,775,0,0,4150,68,0,0,525,0,8760
26_04_2021 17h36min57seg,62,-1,5920,574,11,750,400,0,0,5270,0,811,0,150,0,10020
26_04_2021 17h37min29seg,63,-1,4592,464,496,700,575,0,0,4545,72,0,0,575,0,8680
26_04_2021 17h37min54seg,64,-1,4945,476,7,650,400,0,0,4295,0,727,0,50,0,7900
26_04_2021 17h38min22seg,65,-1,4172,516,754,600,775,0,0,3885,12,0,0,375,0,9000
26_04_2021 17h39min02seg,66,-1,2720,897,2259,1300,950,200,0,4520,0,0,0,1850,0,12900
26_04_2021 17h39min27seg,67,-1,4890,473,6,700,400,0,0,4240,0,783,0,100,0,8120
26_04_2021 17h39min52seg,68,-1,4910,500,12,650,400,0,0,4260,0,671,0,50,0,8420
26_04_2021 17h40min17seg,69,-1,5250,446,1,750,400,0,0,4600,0,783,0,150,0,7960
26_04_2021 17h40min55seg,70,-1,4789,1851,2159,850,1275,0,0,5140,124,0,0,1075,50,11780
26_04_2021 17h41min26seg,71,-1,5200,640,571,600,700,0,0,4950,0,0,0,300,0,10700
26_04_2021 17h41min56seg,72,-1,5822,653,54,600,475,0,0,5225,72,335,0,75,0,10560
26_04_2021 17h42min20seg,73,-1,4550,498,11,600,400,0,0,4000,0,559,0,0,0,8000
26_04_2021 17h42min54seg,74,-1,4679,488,271,1000,775,0,0,5170,184,0,0,925,0,10920
26_04_2021 17h43min27seg,75,-1,2078,1385,1714,700,1225,0,0,2665,288,0,0,925,0,10400
26_04_2021 17h43min58seg,76,-1,3355,811,1757,750,1150,0,0,4055,0,0,0,1050,0,9800
26_04_2021 17h44min48seg,77,-1,7923,916,14,600,475,0,0,6770,628,503,22,75,0,14700
26_04_2021 17h45min42seg,78,-1,7564,1100,1449,850,1225,0,0,7665,224,0,0,1075,0,15600
26_04_2021 17h46min12seg,79,-1,4955,616,766,600,700,0,0,4605,0,0,0,300,0,10240
26_04_2021 17h46min37seg,80,-1,4510,508,122,600,400,0,0,4110,0,0,0,200,0,8400
26_04_2021 17h47min03seg,81,-1,3460,814,1499,650,750,0,0,3160,0,0,0,400,0,8380
26_04_2021 17h47min35seg,82,-1,3123,809,1980,600,1225,0,0,3420,28,0,0,825,0,10180
26_04_2021 17h48min03seg,83,-1,3950,515,748,600,700,0,0,3900,0,0,0,450,0,9120
26_04_2021 17h48min39seg,84,-1,3891,999,1367,650,1300,0,0,4375,216,0,0,1025,25,12080
26_04_2021 17h49min05seg,85,-1,4050,498,758,600,700,0,0,3700,0,0,0,300,0,8500
26_04_2021 17h49min29seg,86,-1,4655,498,7,600,400,0,0,4005,0,671,0,0,0,7980
26_04_2021 17h50min19seg,87,-1,8525,895,6,750,400,0,0,8175,0,755,0,150,0,15160
26_04_2021 17h50min44seg,88,-1,4855,520,14,600,400,0,0,4205,0,699,0,0,0,8340
26_04_2021 17h51min07seg,89,-1,4735,504,2,600,400,0,0,4085,0,671,0,0,0,8080
26_04_2021 17h51min40seg,90,-1,6091,605,405,750,675,0,0,5450,316,0,0,425,0,10920
26_04_2021 17h52min12seg,91,-1,3200,597,1506,600,925,0,0,3385,240,0,0,825,0,10140
26_04_2021 17h52min36seg,92,-1,4680,499,9,600,400,0,0,4030,0,699,0,0,0,8000
26_04_2021 17h53min14seg,93,-1,4170,1626,4189,1100,1150,0,0,4520,0,0,0,1250,0,11840
26_04_2021 17h53min45seg,94,-1,4475,616,582,600,700,0,0,4725,0,0,0,700,0,10380
26_04_2021 17h54min15seg,95,-1,5457,595,456,650,575,0,0,4590,392,0,0,225,0,10380
26_04_2021 17h54min42seg,96,-1,4380,523,568,600,700,0,0,4030,0,0,0,300,0,8900
26_04_2021 17h55min12seg,97,-1,5950,653,13,600,400,0,0,5300,0,671,0,0,0,10480
26_04_2021 17h55min36seg,98,-1,4800,515,4,600,400,0,0,4150,0,671,0,0,0,8260
26_04_2021 17h56min03seg,99,-1,4100,512,187,600,475,0,0,4085,40,0,0,275,0,8700
26_04_2021 17h56min26seg,100,-1,4875,520,10,600,400,0,0,4225,0,727,0,0,0,8340
26_04_2021 17h56min58seg,101,-1,6294,588,80,750,475,0,0,5685,84,391,22,225,0,10340
26_04_2021 17h57min22seg,102,-1,4745,505,9,600,400,0,0,4095,0,643,0,0,0,8100
26_04_2021 17h57min51seg,103,-1,6365,579,12,750,400,0,0,5715,0,895,0,150,0,10100
26_04_2021 17h58min15seg,104,-1,4670,505,4,600,400,0,0,4070,0,615,0,0,0,8100
26_04_2021 17h58min40seg,105,-1,4870,521,1,600,400,0,0,4220,0,727,0,0,0,8340
26_04_2021 17h59min04seg,106,-1,4865,523,13,600,400,0,0,4215,0,699,0,0,0,8400
26_04_2021 17h59min33seg,107,-1,6035,662,3,600,400,0,0,5385,0,699,0,0,0,10600
26_04_2021 18h00min00seg,108,-1,4450,517,372,600,700,0,0,4100,0,0,0,300,0,8780
26_04_2021 18h00min24seg,109,-1,4795,512,1,600,400,0,0,4145,0,643,0,0,0,8200
26_04_2021 18h00min51seg,110,-1,4395,517,486,600,700,0,0,4045,0,0,0,300,0,8820
