time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
26_04_2021 19h19min07seg,261,-1,4780,509,10,600,400,0,0,4130,0,671,0,0,0,8160
26_04_2021 19h19min31seg,262,-1,4670,496,0,600,400,0,0,4020,0,671,0,0,0,7940
26_04_2021 19h20min23seg,263,-1,8669,899,67,750,475,0,0,7890,504,167,22,225,0,15380
26_04_2021 19h21min00seg,264,-1,2750,1883,3603,600,1150,0,0,3000,0,0,0,750,0,11540
26_04_2021 19h21min23seg,265,-1,4960,411,6,750,400,0,0,4310,0,839,0,150,0,7400
26_04_2021 19h21min55seg,266,-1,6743,570,117,750,475,0,0,5840,328,335,22,225,0,10080
26_04_2021 19h22min19seg,267,-1,4645,468,14,650,400,0,0,3995,0,727,0,50,0,7920
26_04_2021 19h22min46seg,268,-1,5460,479,4,750,400,0,0,5010,0,699,0,150,0,8500
26_04_2021 19h23min10seg,269,-1,4850,519,7,600,400,0,0,4200,0,671,0,0,0,8320
26_04_2021 19h23min39seg,270,-1,5955,658,8,600,400,0,0,5305,0,699,0,0,0,10540
26_04_2021 19h24min09seg,271,-1,6010,661,7,600,400,0,0,5360,0,671,0,0,0,10600
26_04_2021 19h24min40seg,272,-1,5600,639,131,600,600,0,0,5150,0,83,0,200,0,10440
26_04_2021 19h25min07seg,273,-1,4616,438,875,750,675,0,0,4355,36,0,0,425,0,8580
26_04_2021 19h25min33seg,274,-1,4540,524,431,600,500,0,0,3990,0,195,0,100,0,8560
26_04_2021 19h26min06seg,275,-1,6105,595,592,750,700,0,0,6055,0,0,0,650,0,10780
26_04_2021 19h26min33seg,276,-1,4814,490,143,650,475,0,0,3895,344,139,0,125,0,8540
26_04_2021 19h27min01seg,277,-1,2510,499,252,600,700,0,0,3960,0,0,0,1500,0,9200
26_04_2021 19h27min24seg,278,-1,4600,491,8,600,400,0,0,3950,0,671,0,0,0,7880
26_04_2021 19h27min51seg,279,-1,3463,521,193,600,575,0,0,3790,248,0,0,725,0,8880
26_04_2021 19h28min20seg,280,-1,5161,331,1335,1100,675,0,0,4530,356,0,0,775,0,8900
26_04_2021 19h28min51seg,281,-1,5481,634,394,600,575,0,0,4570,436,0,0,175,0,10480
26_04_2021 19h29min14seg,282,-1,4625,489,3,600,400,0,0,3975,0,671,0,0,0,7840
26_04_2021 19h29min45seg,283,-1,5980,608,0,700,400,0,0,5330,0,755,0,100,0,10360
26_04_2021 19h30min16seg,284,-1,6675,593,10,750,400,0,0,6225,0,727,0,150,0,10320
26_04_2021 19h30min43seg,285,-1,5329,469,164,750,475,0,0,4410,344,167,0,225,0,8540
26_04_2021 19h31min18seg,286,-1,5685,567,613,800,775,0,0,5430,680,0,0,675,0,10920
26_04_2021 19h31min49seg,287,-1,6730,586,4,750,400,0,0,6080,0,895,0,150,0,10200
26_04_2021 19h32min14seg,288,-1,4895,525,9,600,400,0,0,4245,0,615,0,0,0,8420
26_04_2021 19h32min41seg,289,-1,4115,392,1234,900,700,0,0,3815,0,0,0,600,0,8460
26_04_2021 19h33min18seg,290,-1,3495,2065,3475,650,1150,0,0,3645,0,0,0,800,0,11660
26_04_2021 19h33min42seg,291,-1,3829,389,371,750,475,0,0,3480,224,0,0,225,0,7740
26_04_2021 19h34min06seg,292,-1,4550,495,128,600,475,0,0,3955,20,111,0,75,0,8120
26_04_2021 19h34min32seg,293,-1,4774,519,132,600,475,0,0,4035,164,83,22,75,0,8520
26_04_2021 19h35min07seg,294,-1,3435,1149,2222,750,1150,0,0,3835,0,0,0,1000,0,11240
26_04_2021 19h35min43seg,295,-1,2160,1729,3514,950,1150,50,0,3060,0,0,0,1250,0,11840
26_04_2021 19h36min15seg,296,-1,5080,621,581,600,700,0,0,4730,0,0,0,300,0,10280
26_04_2021 19h36min45seg,297,-1,5884,663,95,600,475,0,0,5355,4,251,22,75,0,10780
26_04_2021 19h37min21seg,298,-1,4335,1130,1222,600,1225,0,0,4580,80,0,0,825,0,11540
26_04_2021 19h37min48seg,299,-1,5790,474,10,750,400,0,0,5140,0,867,0,150,0,8420
26_04_2021 19h38min13seg,300,-1,4940,451,14,750,400,0,0,4290,0,755,0,150,0,8060
26_04_2021 19h38min40seg,301,-1,4020,496,734,600,700,0,0,3670,0,0,0,300,0,8460
26_04_2021 19h39min05seg,302,-1,4680,508,3,600,400,0,0,4080,0,643,0,0,0,8140
26_04_2021 19h39min38seg,303,-1,4276,618,544,600,775,0,0,4605,96,0,0,675,0,10680
26_04_2021 19h40min10seg,304,-1,5045,543,812,800,700,0,0,4695,0,0,0,500,0,10320
26_04_2021 19h40min34seg,305,-1,4945,489,8,650,400,0,0,4295,0,783,0,50,0,8120
26_04_2021 19h41min03seg,306,-1,5780,629,3,600,400,0,0,5130,0,727,0,0,0,10080
26_04_2021 19h41min26seg,307,-1,5110,460,6,700,400,0,0,4460,0,755,0,100,0,7920
26_04_2021 19h41min54seg,308,-1,5595,622,1,600,400,0,0,5045,0,587,0,0,0,9960
26_04_2021 19h42min24seg,309,-1,5950,653,6,600,400,0,0,5300,0,699,0,0,0,10460
26_04_2021 19h42min46seg,310,-1,4815,398,3,750,400,0,0,4165,0,867,0,150,0,7200
26_04_2021 19h43min18seg,311,-1,3644,930,1641,650,1200,0,0,3520,292,0,0,837,31,10000
26_04_2021 19h43min44seg,312,-1,4696,507,138,600,475,0,0,3885,236,139,22,75,0,8340
26_04_2021 19h44min11seg,313,-1,4105,506,757,600,700,0,0,3755,0,0,0,300,0,8640
26_04_2021 19h44min39seg,314,-1,4230,514,657,600,775,0,0,3955,0,0,0,375,0,8940
26_04_2021 19h45min13seg,315,-1,3769,630,477,600,775,0,0,4120,424,0,0,825,0,10800
26_04_2021 19h45min46seg,316,-1,6537,571,119,750,475,0,0,5590,372,307,22,225,0,10120
26_04_2021 19h46min12seg,317,-1,5584,471,154,750,475,0,0,4665,344,195,22,225,0,8540
26_04_2021 19h46min41seg,318,-1,5825,636,9,600,400,0,0,5175,0,783,0,0,0,10200
26_04_2021 19h47min34seg,319,-1,7730,861,370,800,775,0,0,8375,180,0,0,875,0,15340
26_04_2021 19h48min00seg,320,-1,4406,497,235,600,475,0,0,3695,336,0,0,75,0,8440
26_04_2021 19h48min31seg,321,-1,5472,637,147,600,575,0,0,5085,12,0,0,175,0,10480
26_04_2021 19h49min03seg,322,-1,5212,661,0,600,475,0,0,4785,452,0,0,75,0,10760
26_04_2021 19h49min34seg,323,-1,5335,674,0,600,400,0,0,5285,0,27,0,0,0,10800
26_04_2021 19h50min06seg,324,-1,4837,633,0,600,475,0,0,4730,232,0,0,175,0,10320
26_04_2021 19h50min30seg,325,-1,4838,392,233,750,475,0,0,4035,228,0,0,225,0,7380
26_04_2021 19h51min21seg,326,-1,9066,864,150,750,475,0,0,8535,256,0,0,425,0,14880
26_04_2021 19h51min53seg,327,-1,2810,968,2425,600,1150,0,0,3110,0,0,0,750,0,10100
26_04_2021 19h52min23seg,328,-1,6100,587,10,750,400,0,0,5450,0,783,0,150,0,10220
26_04_2021 19h52min54seg,329,-1,6965,608,5,750,400,0,0,6315,0,867,0,150,0,10560
26_04_2021 19h53min19seg,330,-1,4723,438,159,750,475,0,0,4000,148,139,0,225,0,8020
26_04_2021 19h53min48seg,331,-1,5625,623,53,600,475,0,0,4950,100,391,22,75,0,10080
26_04_2021 19h54min14seg,332,-1,4815,513,14,600,400,0,0,4165,0,755,0,0,0,8240
26_04_2021 19h54min40seg,333,-1,5490,450,1,750,400,0,0,4840,0,923,0,150,0,8020
26_04_2021 19h55min09seg,334,-1,5720,626,0,600,400,0,0,5070,0,699,0,0,0,10020
26_04_2021 19h55min40seg,335,-1,5560,571,73,750,400,0,0,5510,0,111,0,350,0,10160
26_04_2021 19h56min09seg,336,-1,5945,653,14,600,400,0,0,5295,0,671,0,0,0,10480
26_04_2021 19h57min31seg,337,-1,8472,4376,3069,2000,1375,1575,0,9205,892,0,0,2325,50,21600
26_04_2021 19h58min29seg,338,-1,6125,2458,957,850,1150,0,0,7225,0,0,0,1150,0,16460
26_04_2021 19h59min05seg,339,-1,4598,458,715,1150,775,0,0,4945,528,0,0,1075,0,11060
26_04_2021 19h59min27seg,340,-1,4745,405,4,750,400,0,0,4095,0,839,0,150,0,7300
26_04_2021 19h59min54seg,341,-1,5113,463,161,700,475,0,0,4230,308,111,22,175,0,8180
26_04_2021 20h00min28seg,342,-1,4847,659,484,600,775,0,0,4990,232,0,0,775,0,11220
26_04_2021 20h01min02seg,343,-1,5868,494,1530,950,775,0,0,5425,168,0,0,725,0,10460
26_04_2021 20h01min27seg,344,-1,5460,444,11,750,400,0,0,4810,0,839,0,150,0,7940
26_04_2021 20h02min15seg,345,-1,8235,940,6,600,400,0,0,7585,0,615,0,0,0,15060
26_04_2021 20h02min42seg,346,-1,4485,413,660,850,700,0,0,4135,0,0,0,550,0,8760
26_04_2021 20h03min13seg,347,-1,6010,591,6,800,400,0,0,5460,0,699,0,200,0,10620
26_04_2021 20h03min50seg,348,-1,3420,1153,2717,1050,1225,50,0,3625,320,0,0,1275,0,12040
26_04_2021 20h04min21seg,349,-1,4610,622,358,600,700,0,0,4960,0,0,0,750,0,10520
26_04_2021 20h04min46seg,350,-1,4765,509,7,600,400,0,0,4115,0,671,0,0,0,8160
26_04_2021 20h05min10seg,351,-1,4740,509,9,600,400,0,0,4090,0,643,0,0,0,8160
26_04_2021 20h05min34seg,352,-1,4720,501,1,600,400,0,0,4070,0,727,0,0,0,8020
26_04_2021 20h05min58seg,353,-1,4735,523,1,600,400,0,0,4185,0,587,0,0,0,8380
26_04_2021 20h06min26seg,354,-1,3123,497,519,600,775,0,0,3650,248,0,0,1075,0,8920
26_04_2021 20h07min03seg,355,-1,7763,468,819,1150,775,0,0,7220,768,0,0,1225,0,11100
26_04_2021 20h07min29seg,356,-1,5700,469,17,750,400,0,0,5050,0,811,0,150,0,8340
26_04_2021 20h08min01seg,357,-1,6715,607,8,750,400,0,0,6265,0,699,0,150,0,10540
26_04_2021 20h08min31seg,358,-1,6390,565,11,750,400,0,0,5740,0,867,0,150,0,9880
26_04_2021 20h09min19seg,359,-1,8155,952,0,600,400,0,0,7655,0,615,0,0,0,15240
26_04_2021 20h10min08seg,360,-1,7894,885,18,650,475,0,0,6905,464,559,44,125,0,14500
26_04_2021 20h10min44seg,361,-1,6105,555,1395,850,775,0,0,5630,200,0,0,625,0,11080
26_04_2021 20h11min15seg,362,-1,6600,579,6,750,400,0,0,6150,0,643,0,150,0,10100
26_04_2021 20h11min49seg,363,-1,4993,905,948,600,925,0,0,4540,328,0,0,525,0,11240
26_04_2021 20h12min13seg,364,-1,4710,532,2,600,400,0,0,4260,0,475,0,0,0,8520
26_04_2021 20h12min40seg,365,-1,4624,518,171,600,475,0,0,3975,224,0,0,75,0,8680
26_04_2021 20h13min10seg,366,-1,5000,625,403,600,700,0,0,4900,0,0,0,400,0,10440
26_04_2021 20h13min46seg,367,-1,4365,869,1212,900,1050,0,0,4765,0,0,0,950,0,11620
26_04_2021 20h14min12seg,368,-1,4310,493,265,600,575,0,0,3695,240,0,0,175,0,8320
26_04_2021 20h14min43seg,369,-1,5811,644,92,600,475,0,0,5060,176,251,44,75,0,10460
26_04_2021 20h15min11seg,370,-1,4221,502,625,600,775,0,0,3670,276,0,0,375,0,8800
26_04_2021 20h15min35seg,371,-1,4615,493,3,600,400,0,0,3965,0,699,0,0,0,7900
26_04_2021 20h16min07seg,372,-1,4997,641,408,600,775,0,0,4830,192,0,0,375,0,10920
26_04_2021 20h16min37seg,373,-1,5811,607,61,650,475,0,0,4920,316,391,22,125,0,10100
26_04_2021 20h17min04seg,374,-1,4305,511,489,600,775,0,0,3740,340,0,0,375,0,8900
26_04_2021 20h17min28seg,375,-1,4715,505,9,600,400,0,0,4065,0,671,0,0,0,8100
26_04_2021 20h17min56seg,376,-1,3425,531,497,600,700,0,0,3825,0,0,0,450,0,9240
26_04_2021 20h19min00seg,377,-1,3680,2063,3504,2650,1300,1125,0,6240,340,0,0,2925,25,18940
26_04_2021 20h19min26seg,378,-1,4771,518,122,600,475,0,0,4120,76,139,0,75,0,8500
26_04_2021 20h20min19seg,379,-1,8378,968,22,600,475,0,0,7185,668,503,44,75,0,15540
26_04_2021 20h20min45seg,380,-1,5216,451,144,750,475,0,0,4385,256,195,22,225,0,8220
26_04_2021 20h21min13seg,381,-1,4544,473,527,700,775,0,0,3975,344,0,0,475,0,8820
26_04_2021 20h21min42seg,382,-1,5685,621,12,600,400,0,0,5035,0,671,0,0,0,9960
26_04_2021 20h22min06seg,383,-1,4845,516,9,600,400,0,0,4195,0,671,0,0,0,8280
26_04_2021 20h22min38seg,384,-1,5841,659,141,600,475,0,0,5110,256,0,0,75,0,10860
26_04_2021 20h22min59seg,385,-1,4195,439,1,600,400,0,0,3545,0,671,0,0,0,7040
26_04_2021 20h23min51seg,386,-1,9108,907,42,750,475,0,0,8275,508,307,22,225,0,15460
26_04_2021 20h24min17seg,387,-1,4698,508,137,600,475,0,0,3935,188,139,0,75,0,8360
26_04_2021 20h24min41seg,388,-1,4760,508,1,600,400,0,0,4110,0,699,0,0,0,8140
26_04_2021 20h25min09seg,389,-1,4370,525,640,600,775,0,0,3775,320,0,0,375,0,9140
26_04_2021 20h25min34seg,390,-1,5460,460,17,750,400,0,0,4810,0,867,0,150,0,8200
26_04_2021 20h26min02seg,391,-1,5015,493,507,700,700,0,0,4665,0,0,0,400,0,8880
26_04_2021 20h26min41seg,392,-1,5383,1570,2005,1150,1225,0,0,4780,828,0,0,1375,0,11400
26_04_2021 20h27min08seg,393,-1,5228,445,402,750,575,0,0,4545,308,0,0,425,0,8440
26_04_2021 20h27min40seg,394,-1,5070,647,527,600,700,0,0,5020,0,0,0,300,0,10840
26_04_2021 20h28min10seg,395,-1,6410,575,12,750,400,0,0,5760,0,867,0,150,0,10040
26_04_2021 20h28min34seg,396,-1,4920,451,16,750,400,0,0,4270,0,783,0,150,0,8060
26_04_2021 20h29min05seg,397,-1,6990,595,3,750,400,0,0,6340,0,839,0,150,0,10340
26_04_2021 20h29min41seg,398,-1,7738,440,560,1150,675,0,0,6695,668,0,0,825,0,10500
26_04_2021 20h30min11seg,399,-1,6439,566,124,750,475,0,0,5840,24,307,22,225,0,10040
26_04_2021 20h30min49seg,400,-1,4161,1065,2690,750,1225,0,0,4640,96,0,0,975,0,11980
26_04_2021 20h31min20seg,401,-1,2720,1735,2576,600,1050,0,0,2820,0,0,0,650,0,9480
26_04_2021 20h31min45seg,402,-1,5195,460,13,750,400,0,0,4545,0,755,0,150,0,8200
26_04_2021 20h32min09seg,403,-1,4675,497,1,600,400,0,0,4025,0,699,0,0,0,7960
26_04_2021 20h32min39seg,404,-1,5254,628,202,600,475,0,0,4785,244,0,0,275,0,10440
26_04_2021 20h33min14seg,405,-1,2556,1221,2243,750,1225,0,0,3445,136,0,0,1125,0,10580
26_04_2021 20h33min45seg,406,-1,4575,631,550,600,700,0,0,4925,0,0,0,800,0,10640
26_04_2021 20h34min21seg,407,-1,3330,1894,4096,1000,1150,0,0,3430,0,0,0,1150,0,11240
26_04_2021 20h34min46seg,408,-1,4825,517,6,600,400,0,0,4175,0,671,0,0,0,8280
26_04_2021 20h35min10seg,409,-1,4540,511,1,600,400,0,0,4090,0,531,0,0,0,8180
26_04_2021 20h35min39seg,410,-1,5546,621,64,600,475,0,0,5005,16,307,44,75,0,10060
26_04_2021 20h36min10seg,411,-1,5001,621,712,600,775,0,0,4710,16,0,0,375,0,10500
26_04_2021 20h36min36seg,412,-1,4794,522,132,600,475,0,0,3875,344,111,0,75,0,8560
26_04_2021 20h37min29seg,413,-1,8180,962,121,650,575,0,0,7495,460,83,0,325,0,15900
26_04_2021 20h37min56seg,414,-1,4936,460,224,750,475,0,0,4425,336,0,0,225,0,8680
26_04_2021 20h38min24seg,415,-1,4150,455,639,750,700,0,0,4850,0,0,0,1150,0,8920
26_04_2021 20h38min54seg,416,-1,6010,572,0,800,400,0,0,5510,0,727,0,200,0,10300
26_04_2021 20h39min19seg,417,-1,4880,522,1,600,400,0,0,4230,0,699,0,0,0,8360
26_04_2021 20h39min52seg,418,-1,2816,429,748,900,675,0,0,4165,376,0,0,1775,0,9940
26_04_2021 20h40min16seg,419,-1,4750,507,3,600,400,0,0,4100,0,727,0,0,0,8120
26_04_2021 20h40min40seg,420,-1,4845,517,1,600,400,0,0,4195,0,699,0,0,0,8280
26_04_2021 20h41min05seg,421,-1,4578,495,133,600,475,0,0,3675,328,167,22,75,0,8140
26_04_2021 20h41min38seg,422,-1,7005,611,59,750,475,0,0,6090,340,503,22,225,0,10700
26_04_2021 20h42min09seg,423,-1,6159,574,200,750,475,0,0,5870,64,0,0,225,0,10380
26_04_2021 20h42min39seg,424,-1,6250,586,15,750,400,0,0,5600,0,811,0,150,0,10220
26_04_2021 20h43min09seg,425,-1,5685,617,3,600,400,0,0,5035,0,755,0,0,0,9980
26_04_2021 20h43min40seg,426,-1,6519,576,58,750,475,0,0,5670,324,475,0,225,0,10140
26_04_2021 20h44min06seg,427,-1,4770,524,7,600,400,0,0,4220,0,587,0,0,0,8400
26_04_2021 20h44min32seg,428,-1,4733,513,131,600,475,0,0,3970,188,83,0,75,0,8420
26_04_2021 20h45min01seg,429,-1,5800,635,5,600,400,0,0,5150,0,699,0,0,0,10180
26_04_2021 20h45min31seg,430,-1,5800,653,5,600,400,0,0,5250,0,587,0,0,0,10460
26_04_2021 20h45min55seg,431,-1,4750,509,2,600,400,0,0,4100,0,699,0,0,0,8160
26_04_2021 20h46min25seg,432,-1,6170,605,18,750,400,0,0,5520,0,811,0,150,0,10520
26_04_2021 20h46min55seg,433,-1,6080,592,8,750,400,0,0,5830,0,587,0,150,0,10320
26_04_2021 20h47min28seg,434,-1,6220,594,456,750,700,0,0,6120,0,0,0,450,0,10820
26_04_2021 20h47min56seg,435,-1,5990,340,655,1100,500,0,0,5440,0,419,0,600,0,8340
26_04_2021 20h48min31seg,436,-1,5843,596,531,750,775,0,0,5930,188,0,0,525,0,11040
26_04_2021 20h48min57seg,437,-1,4250,515,458,600,700,0,0,4100,0,0,0,450,0,8880
26_04_2021 20h49min50seg,438,-1,8784,905,84,750,475,0,0,8175,384,223,0,425,0,15460
26_04_2021 20h50min13seg,439,-1,4690,498,13,600,400,0,0,4040,0,671,0,0,0,8000
26_04_2021 20h50min39seg,440,-1,3640,463,794,600,700,0,0,3490,0,0,0,300,0,8200
26_04_2021 20h51min01seg,441,-1,4305,392,11,750,400,0,0,3655,0,867,0,150,0,7100
26_04_2021 20h51min24seg,442,-1,4965,404,6,750,400,0,0,4315,0,811,0,150,0,7300
26_04_2021 20h51min48seg,443,-1,5055,449,15,750,400,0,0,4405,0,867,0,150,0,8020
26_04_2021 20h52min12seg,444,-1,4835,517,0,600,400,0,0,4185,0,727,0,0,0,8280
26_04_2021 20h52min37seg,445,-1,5137,456,167,750,475,0,0,4330,232,111,22,225,0,8320
26_04_2021 20h53min19seg,446,-1,4325,1341,4639,2000,1150,100,0,5875,0,0,0,2250,0,12480
26_04_2021 20h54min22seg,447,-1,7779,4350,1008,1250,1375,1125,0,7520,1184,0,0,1575,50,18480
26_04_2021 20h54min50seg,448,-1,3410,506,789,600,700,0,0,3760,0,0,0,800,0,8760
26_04_2021 20h55min21seg,449,-1,5240,641,753,600,600,0,0,4790,0,0,0,200,0,10560
26_04_2021 20h55min49seg,450,-1,5235,472,641,750,600,0,0,4785,0,0,0,350,0,8720
26_04_2021 20h56min14seg,451,-1,4805,517,3,600,400,0,0,4155,0,671,0,0,0,8280
26_04_2021 20h56min42seg,452,-1,5595,626,2,600,400,0,0,5045,0,587,0,0,0,10020
26_04_2021 20h57min05seg,453,-1,4650,496,12,600,400,0,0,4000,0,671,0,0,0,7960
26_04_2021 20h57min58seg,454,-1,8725,904,248,750,700,0,0,8700,0,0,0,525,0,15700
26_04_2021 20h58min33seg,455,-1,6458,610,882,750,775,0,0,5785,448,0,0,525,0,11180
26_04_2021 20h58min58seg,456,-1,5325,456,0,750,400,0,0,4675,0,895,0,150,0,8120
26_04_2021 20h59min49seg,457,-1,9216,870,75,750,475,0,0,8145,496,391,22,225,0,14860
26_04_2021 21h00min15seg,458,-1,4325,489,216,600,475,0,0,3790,160,0,0,75,0,8320
26_04_2021 21h00min46seg,459,-1,6652,576,93,750,475,0,0,5845,232,391,22,225,0,10180
26_04_2021 21h01min18seg,460,-1,5819,659,116,600,475,0,0,4950,444,0,0,75,0,10840
26_04_2021 21h01min41seg,461,-1,4615,490,9,600,400,0,0,3965,0,699,0,0,0,7860
26_04_2021 21h02min11seg,462,-1,5617,620,87,600,475,0,0,4650,392,307,22,75,0,10080
26_04_2021 21h02min40seg,463,-1,5700,640,5,600,400,0,0,5150,0,587,0,0,0,10260
26_04_2021 21h03min11seg,464,-1,6411,578,136,750,475,0,0,5460,376,223,22,225,0,10240
26_04_2021 21h03min43seg,465,-1,5394,637,135,600,475,0,0,4915,204,0,0,75,0,10540
26_04_2021 21h04min15seg,466,-1,5318,645,546,600,775,0,0,4855,188,0,0,375,0,10880
26_04_2021 21h04min52seg,467,-1,3285,1306,3049,600,1150,0,0,3585,0,0,0,900,0,11880
26_04_2021 21h05min17seg,468,-1,4705,523,1,600,400,0,0,4205,0,615,0,0,0,8380
26_04_2021 21h05min52seg,469,-1,3139,1771,2916,650,1225,0,0,3350,164,0,0,1025,0,11400
26_04_2021 21h06min19seg,470,-1,4470,523,449,600,700,0,0,4120,0,0,0,300,0,8880
26_04_2021 21h06min52seg,471,-1,2931,777,2099,1225,1000,200,0,3340,216,0,0,1075,150,10400
26_04_2021 21h07min18seg,472,-1,5680,470,15,750,400,0,0,5030,0,811,0,150,0,8360
26_04_2021 21h07min42seg,473,-1,3830,444,535,600,700,0,0,3480,0,0,0,300,0,7780
26_04_2021 21h08min39seg,474,-1,7520,1443,1922,850,1300,0,0,8230,40,0,0,1125,25,16160
26_04_2021 21h09min07seg,475,-1,4549,387,929,950,775,0,0,3830,444,0,0,725,0,8840
26_04_2021 21h09min35seg,476,-1,3695,491,1111,600,775,0,0,3470,0,0,0,375,0,8700
26_04_2021 21h10min06seg,477,-1,5840,650,89,600,475,0,0,5005,260,307,22,75,0,10560
26_04_2021 21h10min33seg,478,-1,3260,500,324,600,700,0,0,3960,0,0,0,750,0,9000
26_04_2021 21h10min59seg,479,-1,4544,510,295,600,575,0,0,4025,44,0,0,175,0,8600
26_04_2021 21h11min27seg,480,-1,4445,524,553,600,775,0,0,3870,300,0,0,375,0,9180
26_04_2021 21h11min53seg,481,-1,5565,456,5,750,400,0,0,4915,0,839,0,150,0,8120
26_04_2021 21h12min22seg,482,-1,5935,651,14,600,400,0,0,5285,0,643,0,0,0,10440
26_04_2021 21h12min50seg,483,-1,4009,472,857,650,775,0,0,3510,224,0,0,425,0,8860
26_04_2021 21h13min24seg,484,-1,6362,577,531,750,775,0,0,5855,232,0,0,525,0,10620
26_04_2021 21h13min55seg,485,-1,5089,620,556,600,775,0,0,4630,184,0,0,375,0,10500
26_04_2021 21h14min25seg,486,-1,5706,635,103,600,475,0,0,4875,256,195,22,75,0,10320
26_04_2021 21h15min00seg,487,-1,6551,461,978,1150,775,0,0,5620,656,0,0,925,0,10880
26_04_2021 21h15min33seg,488,-1,4488,634,632,600,775,0,0,4565,348,0,0,875,0,10860
26_04_2021 21h16min05seg,489,-1,4995,623,805,600,700,0,0,4645,0,0,0,300,0,10420
26_04_2021 21h16min31seg,490,-1,4450,513,478,600,675,0,0,3795,280,0,0,275,0,8780
26_04_2021 21h16min55seg,491,-1,4785,509,2,600,400,0,0,4135,0,643,0,0,0,8160
26_04_2021 21h17min28seg,492,-1,4613,669,21,600,775,0,0,4940,148,0,0,525,0,11220
26_04_2021 21h17min57seg,493,-1,5760,641,10,600,400,0,0,5210,0,615,0,0,0,10280
26_04_2021 21h18min20seg,494,-1,4745,504,3,600,400,0,0,4095,0,671,0,0,0,8080
26_04_2021 21h18min49seg,495,-1,5745,631,9,600,400,0,0,5095,0,671,0,0,0,10120
26_04_2021 21h19min12seg,496,-1,4590,488,13,600,400,0,0,3940,0,643,0,0,0,7840
26_04_2021 21h20min04seg,497,-1,8140,961,140,600,700,0,0,7790,0,55,0,300,0,15620
26_04_2021 21h20min37seg,498,-1,5905,588,469,800,700,0,0,5555,0,0,0,500,0,10880
26_04_2021 21h21min03seg,499,-1,4145,501,615,600,700,0,0,3795,0,0,0,300,0,8520
26_04_2021 21h21min33seg,500,-1,6635,582,2,750,400,0,0,5985,0,867,0,150,0,10140
26_04_2021 21h22min00seg,501,-1,4645,483,263,700,600,0,0,4195,0,0,0,300,0,8680
26_04_2021 21h22min28seg,502,-1,4515,436,356,800,575,0,0,4440,0,0,0,375,0,8680
26_04_2021 21h22min55seg,503,-1,4560,449,683,750,700,0,0,4560,0,0,0,550,0,8660
26_04_2021 21h23min26seg,504,-1,4760,633,1193,600,700,0,0,4410,0,0,0,300,0,10520
26_04_2021 21h24min04seg,505,-1,5575,985,2881,1200,1150,0,0,5925,0,0,0,1350,0,11480
26_04_2021 21h24min28seg,506,-1,5025,457,1,700,400,0,0,4575,0,559,0,100,0,8040
26_04_2021 21h24min56seg,507,-1,4386,446,428,750,575,0,0,4385,276,0,0,625,0,8660
26_04_2021 21h25min45seg,508,-1,7869,930,22,600,475,0,0,7270,224,279,22,75,0,14960
26_04_2021 21h26min50seg,509,-1,6342,1937,7774,2725,1375,450,0,7230,1212,0,0,2825,275,16720
26_04_2021 21h27min19seg,510,-1,5730,625,12,600,400,0,0,5080,0,643,0,0,0,10020
26_04_2021 21h27min41seg,511,-1,4630,492,14,600,400,0,0,3980,0,727,0,0,0,7900
26_04_2021 21h28min06seg,512,-1,5190,443,15,750,400,0,0,4540,0,867,0,150,0,7920
26_04_2021 21h28min36seg,513,-1,6595,592,2,750,400,0,0,5945,0,811,0,150,0,10300
26_04_2021 21h29min07seg,514,-1,6605,610,32,750,400,0,0,6080,0,727,0,225,0,10640
26_04_2021 21h29min38seg,515,-1,6440,577,194,750,475,0,0,5795,420,0,0,225,0,10440
26_04_2021 21h30min03seg,516,-1,4594,440,180,750,475,0,0,3875,144,111,22,225,0,8080
26_04_2021 21h30min33seg,517,-1,5705,655,173,600,600,0,0,5255,0,0,0,200,0,10740
26_04_2021 21h31min23seg,518,-1,7757,949,18,600,475,0,0,7190,492,111,22,75,0,15360
26_04_2021 21h31min52seg,519,-1,5845,639,10,600,400,0,0,5195,0,671,0,0,0,10240
26_04_2021 21h32min24seg,520,-1,6500,590,476,750,700,0,0,6200,0,0,0,450,0,10660
26_04_2021 21h32min53seg,521,-1,5480,331,1201,1100,775,0,0,5255,0,0,0,875,0,8740
26_04_2021 21h33min28seg,522,-1,6935,471,870,1100,700,0,0,6835,0,0,0,800,0,10840
26_04_2021 21h33min52seg,523,-1,4571,493,121,600,475,0,0,3860,136,139,22,75,0,8100
26_04_2021 21h34min21seg,524,-1,5708,635,104,600,475,0,0,5085,48,223,22,75,0,10340
26_04_2021 21h34min47seg,525,-1,5304,442,174,750,475,0,0,4405,324,111,22,225,0,8100
26_04_2021 21h35min17seg,526,-1,5825,652,5,600,400,0,0,5275,0,531,0,0,0,10440
26_04_2021 21h35min40seg,527,-1,4795,510,6,600,400,0,0,4145,0,671,0,0,0,8180
26_04_2021 21h36min29seg,528,-1,7090,908,598,600,700,0,0,6990,0,0,0,300,0,14860
26_04_2021 21h36min58seg,529,-1,5795,634,5,600,400,0,0,5145,0,671,0,0,0,10160
