time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
27_04_2021 11h55min55seg,58,0,12072,2939,1190,600,1300,0,0,10970,52,0,67,875,25,28800
27_04_2021 11h57min45seg,59,0,12926,2547,1278,750,1125,0,0,11280,596,139,0,875,0,28800
27_04_2021 11h59min33seg,60,0,12040,1872,1507,750,1150,0,0,10990,0,0,0,900,0,28800
27_04_2021 12h01min31seg,61,0,11845,2642,7906,1100,1150,0,0,10795,0,0,0,1250,0,28800
27_04_2021 12h03min22seg,62,0,12114,2487,7522,1100,1225,0,0,10800,264,0,156,1325,0,28800
27_04_2021 12h05min14seg,63,0,11626,3289,2983,1950,1225,0,0,10810,316,55,0,2725,0,28800
27_04_2021 12h06min54seg,64,0,11848,2659,4070,750,1225,0,0,10790,8,0,44,975,0,28800
27_04_2021 12h08min37seg,65,0,11240,4300,11005,1550,1150,0,0,10790,0,0,0,2450,0,28800
27_04_2021 12h10min29seg,66,0,13190,6289,8630,1550,1275,0,0,10780,1460,0,156,1875,50,28800
27_04_2021 12h12min01seg,67,0,12174,2021,3760,600,1225,0,0,10800,324,0,67,925,50,28800
27_04_2021 12h13min38seg,68,0,12494,1791,4580,800,925,0,0,10800,644,0,111,725,0,28800
27_04_2021 12h15min17seg,69,0,11524,6333,5363,600,1225,0,0,9710,764,419,67,825,0,28800
27_04_2021 12h16min50seg,70,0,12740,1674,1398,950,500,0,0,11740,0,195,0,550,0,28800
27_04_2021 12h17min51seg,71,1,8879,992,3430,1150,1025,0,400,7575,804,503,156,1725,0,16460
27_04_2021 12h19min30seg,72,0,13003,1800,2308,600,775,0,0,10805,1148,27,44,375,0,28800
27_04_2021 12h21min13seg,73,0,12125,1630,3431,1100,700,0,0,11075,0,83,0,800,0,28800
27_04_2021 12h22min47seg,74,0,13106,1749,4365,750,775,0,0,10880,1176,111,179,525,0,28800
27_04_2021 12h24min41seg,75,0,12486,5684,5123,1975,1375,0,0,10800,636,0,67,2275,75,28800
27_04_2021 12h26min21seg,76,0,12769,1792,4201,750,1025,0,0,10815,904,27,0,775,0,28800
27_04_2021 12h28min04seg,77,0,11770,4783,7664,1100,1150,0,0,10720,0,139,0,1250,0,28800
27_04_2021 12h29min13seg,78,1,5385,3202,6856,1400,1150,0,400,4335,0,195,0,1600,0,18240
27_04_2021 12h30min47seg,79,0,11952,1800,2075,600,775,0,0,10810,92,55,0,825,0,28800
27_04_2021 12h32min19seg,80,0,13125,1749,119,750,475,0,0,10795,1280,0,156,225,0,28800
27_04_2021 12h33min49seg,81,0,12375,1749,3602,750,475,0,0,10865,460,0,111,225,0,28800
27_04_2021 12h35min29seg,82,0,14095,5437,14796,1150,1225,0,0,10795,2250,0,0,1375,0,28800
27_04_2021 12h37min05seg,83,0,13211,3422,5975,900,1375,0,0,10885,1276,55,67,1225,50,28800
27_04_2021 12h38min44seg,84,0,11850,1630,6545,1100,700,0,0,10800,0,0,0,800,0,28800
27_04_2021 12h39min48seg,85,1,6260,1906,2555,850,1150,0,400,5210,0,559,0,1000,0,12880
